fmun;ano;mes;regiao;roubo_veiculo;furto_veiculos;trafico_drogas;recuperacao_veiculos
Casimiro de Abreu;2014;5;Interior;6;1;1;5
Conceição de Macabu;2014;5;Interior;5;0;0;1
Cordeiro;2014;5;Interior;0;1;1;0
Duas Barras;2014;5;Interior;0;1;0;2
Duque de Caxias;2014;5;Baixada Fluminense;408;91;31;263
Engenheiro Paulo de Frontin;2014;5;Interior;0;1;0;0
Guapimirim;2014;5;Baixada Fluminense;5;5;3;1
Iguaba Grande;2014;5;Interior;6;7;0;4
Itaboraí;2014;5;Interior;34;22;19;29
Itaguaí;2014;5;Baixada Fluminense;21;4;6;26
Italva;2014;5;Interior;0;0;0;0
Itaocara;2014;5;Interior;0;2;0;4
Itaperuna;2014;5;Interior;0;4;20;5
Itatiaia;2014;5;Interior;0;1;5;1
Japeri;2014;5;Baixada Fluminense;3;2;10;5
Laje do Muriaé;2014;5;Interior;0;0;1;1
Macaé;2014;5;Interior;40;20;20;26
Macuco;2014;5;Interior;0;0;0;0
Magé;2014;5;Baixada Fluminense;27;8;8;19
Mangaratiba;2014;5;Interior;7;3;2;3
Maricá;2014;5;Grande Niterói;15;13;2;13
Mendes;2014;5;Interior;0;0;2;0
Mesquita;2014;5;Baixada Fluminense;63;29;14;43
Miguel Pereira;2014;5;Interior;0;1;1;0
Miracema;2014;5;Interior;0;2;3;1
Natividade;2014;5;Interior;0;0;0;0
Nilópolis;2014;5;Baixada Fluminense;92;21;5;50
Niterói;2014;5;Grande Niterói;104;76;44;88
Nova Friburgo;2014;5;Interior;2;10;23;13
Nova Iguaçu;2014;5;Baixada Fluminense;240;92;35;102
Paracambi;2014;5;Baixada Fluminense;1;0;5;0
Paraíba do Sul;2014;5;Interior;0;0;3;0
Paraty;2014;5;Interior;0;4;8;2
Paty do Alferes;2014;5;Interior;0;0;0;0
Petrópolis;2014;5;Interior;3;24;21;13
Pinheiral;2014;5;Interior;0;1;1;0
Piraí;2014;5;Interior;2;1;4;2
Porciúncula;2014;5;Interior;0;0;2;0
Porto Real;2014;5;Interior;1;2;6;2
Quatis;2014;5;Interior;0;0;0;0
Queimados;2014;5;Baixada Fluminense;11;9;5;7
Quissamã;2014;5;Interior;4;1;0;1
Resende;2014;5;Interior;0;8;25;7
Rio Bonito;2014;5;Interior;9;10;2;7
Rio Claro;2014;5;Interior;0;3;1;0
Rio das Flores;2014;5;Interior;0;0;0;0
Rio das Ostras;2014;5;Interior;15;16;6;12
Rio de Janeiro;2014;5;Capital;1244;632;302;1090
Santa Maria Madalena;2014;5;Interior;0;0;0;1
Santo Antônio de Pádua;2014;5;Interior;0;5;4;3
São Francisco de Itabapoana;2014;5;Interior;0;3;0;2
São Fidélis;2014;5;Interior;0;0;4;1
São Gonçalo;2014;5;Grande Niterói;363;87;63;308
São João da Barra;2014;5;Interior;2;4;9;7
São João de Meriti;2014;5;Baixada Fluminense;193;59;16;113
São José de Ubá;2014;5;Interior;0;0;0;0
São José do Vale do Rio Preto;2014;5;Interior;0;1;1;0
São Pedro da Aldeia;2014;5;Interior;8;13;7;12
São Sebastião do Alto;2014;5;Interior;0;0;0;1
Sapucaia;2014;5;Interior;1;1;0;0
Saquarema;2014;5;Interior;8;18;1;11
Seropédica;2014;5;Baixada Fluminense;14;3;9;6
Silva Jardim;2014;5;Interior;0;1;0;2
Sumidouro;2014;5;Interior;0;3;0;1
Tanguá;2014;5;Interior;1;7;2;3
Teresópolis;2014;5;Interior;0;9;13;7
Trajano de Moraes;2014;5;Interior;0;0;0;0
Três Rios;2014;5;Interior;0;4;7;0
Valença;2014;5;Interior;0;0;2;0
Varre-Sai;2014;5;Interior;0;0;0;0
Vassouras;2014;5;Interior;0;2;3;1
Volta Redonda;2014;5;Interior;3;20;17;15
Angra dos Reis;2014;6;Interior;2;12;17;7
Aperibé;2014;6;Interior;0;0;0;0
Araruama;2014;6;Interior;3;16;5;12
Areal;2014;6;Interior;0;0;0;0
Armação dos Búzios;2014;6;Interior;1;1;2;3
Arraial do Cabo;2014;6;Interior;0;0;6;1
Barra do Piraí;2014;6;Interior;0;4;7;0
Barra Mansa;2014;6;Interior;3;14;16;9
Belford Roxo;2014;6;Baixada Fluminense;102;28;5;70
Bom Jardim;2014;6;Interior;0;1;1;1
Bom Jesus do Itabapoana;2014;6;Interior;0;1;9;0
Cabo Frio;2014;6;Interior;12;29;44;18
Cachoeiras de Macacu;2014;6;Interior;0;0;3;1
Cambuci;2014;6;Interior;0;1;1;1
Carapebus;2014;6;Interior;0;0;0;0
Comendador Levy Gasparian;2014;6;Interior;0;0;0;0
Campos dos Goytacazes;2014;6;Interior;28;50;40;45
Cantagalo;2014;6;Interior;0;3;2;0
Cardoso Moreira;2014;6;Interior;1;1;2;0
Carmo;2014;6;Interior;1;0;1;0
Casimiro de Abreu;2014;6;Interior;1;2;6;5
Conceição de Macabu;2014;6;Interior;1;0;1;2
Cordeiro;2014;6;Interior;0;1;1;1
Duas Barras;2014;6;Interior;0;0;0;0
Duque de Caxias;2014;6;Baixada Fluminense;351;76;35;215
Engenheiro Paulo de Frontin;2014;6;Interior;0;0;0;0
Guapimirim;2014;6;Baixada Fluminense;3;3;3;2
Iguaba Grande;2014;6;Interior;5;3;1;2
Itaboraí;2014;6;Interior;17;25;24;18
Itaguaí;2014;6;Baixada Fluminense;24;17;9;22
Italva;2014;6;Interior;0;0;0;0
Itaocara;2014;6;Interior;0;2;1;0
Itaperuna;2014;6;Interior;0;3;8;4
Itatiaia;2014;6;Interior;0;3;1;1
Japeri;2014;6;Baixada Fluminense;4;2;4;5
Laje do Muriaé;2014;6;Interior;0;0;1;0
Macaé;2014;6;Interior;40;17;16;22
Macuco;2014;6;Interior;0;0;0;0
Magé;2014;6;Baixada Fluminense;22;8;10;26
Mangaratiba;2014;6;Interior;2;8;2;5
Maricá;2014;6;Grande Niterói;17;11;11;11
Mendes;2014;6;Interior;0;1;3;1
Mesquita;2014;6;Baixada Fluminense;48;12;8;30
Miguel Pereira;2014;6;Interior;0;3;6;3
Miracema;2014;6;Interior;0;0;3;0
Natividade;2014;6;Interior;0;3;4;1
Nilópolis;2014;6;Baixada Fluminense;64;18;2;28
Niterói;2014;6;Grande Niterói;81;67;27;45
Nova Friburgo;2014;6;Interior;0;12;20;5
Nova Iguaçu;2014;6;Baixada Fluminense;224;71;28;95
Paracambi;2014;6;Baixada Fluminense;1;0;4;1
Paraíba do Sul;2014;6;Interior;0;2;1;1
Paraty;2014;6;Interior;0;2;4;2
Paty do Alferes;2014;6;Interior;0;0;0;0
Petrópolis;2014;6;Interior;1;27;22;21
Pinheiral;2014;6;Interior;1;3;1;1
Piraí;2014;6;Interior;0;0;5;2
Porciúncula;2014;6;Interior;0;0;3;0
Porto Real;2014;6;Interior;1;2;6;2
Quatis;2014;6;Interior;0;0;0;0
Queimados;2014;6;Baixada Fluminense;5;8;6;11
Quissamã;2014;6;Interior;4;7;3;1
Resende;2014;6;Interior;0;12;11;1
Rio Bonito;2014;6;Interior;1;7;4;3
Rio Claro;2014;6;Interior;0;1;0;1
Rio das Flores;2014;6;Interior;0;0;2;0
Rio das Ostras;2014;6;Interior;10;12;6;6
Rio de Janeiro;2014;6;Capital;1034;580;284;837
Santa Maria Madalena;2014;6;Interior;0;1;0;1
Santo Antônio de Pádua;2014;6;Interior;0;8;7;3
São Francisco de Itabapoana;2014;6;Interior;1;2;0;4
São Fidélis;2014;6;Interior;0;0;4;1
São Gonçalo;2014;6;Grande Niterói;346;83;50;237
